,redox,azo,ybc,C,T,AMPS,fe,[n]
84,0.00138888888888889,0.0138888888888889,0.138888888888889,1.8,0,50,2.0,1120.0
2,0.914634146341463,0.914634146341463,0.914634146341463,1.64,20,10,2.0,240.0
94,0.138888888888889,0.0,0.0138888888888889,2.52,5,50,2.0,1684.0
45,0.112107623318386,1.12107623318386,0.0,2.23,10,30,0.5,1337.0
42,0.111731843575419,0.00111731843575419,1.11731843575419,1.79,0,30,1.0,806.0
69,0.125,0.0125,0.00125,2.4,20,40,0.0,1393.0
154,0.0138888888888889,0.0555555555555556,0.0,1.8,5,50,0.5,2069.0
26,0.0980392156862745,0.980392156862745,0.0,2.55,10,20,0.5,1713.0
141,0.0555555555555556,0.0347222222222222,0.111111111111111,1.8,5,50,2.0,1868.0
117,0.0042,0.0084,0.0021,2.38095238095238,20,25,0.2,1815.88599287845
93,0.0138888888888889,1.38888888888889,0.00138888888888889,2.52,0,50,1.5,1447.0
133,0.00295714285714286,0.0118285714285714,0.0,1.69082125603865,5,100,0.2,748.045530007381
36,0.0111940298507463,0.0111940298507463,0.0111940298507463,1.34,10,30,1.0,1500.0
82,0.138888888888889,0.00138888888888889,1.38888888888889,1.44,0,50,1.0,600.0
22,0.00980392156862745,0.0,0.0980392156862745,2.04,20,20,0.5,1700.0
126,0.00254333333333333,0.00508666666666667,0.0,1.96592398427261,15,60,0.2,997.022933441407
67,0.0,1.25,0.125,2.4,5,40,1.0,1482.0
97,0.0914634146341463,0.00914634146341463,0.00914634146341463,1.64,10,10,1.0,1314.0
11,0.0914634146341463,0.00914634146341463,0.000914634146341463,3.28,20,10,0.0,1119.0
65,0.125,1.25,0.0,2.0,10,40,0.5,1510.0
86,1.38888888888889,0.0,0.00138888888888889,1.8,15,50,1.0,362.0
6,0.091324200913242,0.00091324200913242,0.91324200913242,2.19,0,10,1.0,687.0
27,0.980392156862745,0.0,0.000980392156862745,2.55,15,20,1.0,343.0
76,0.0138888888888889,0.0138888888888889,0.0138888888888889,1.08,10,50,1.0,1990.0
142,0.0833333333333333,0.0347222222222222,0.111111111111111,1.8,5,50,2.0,1656.0
