,redox,azo,ybc,C,T,AMPS,fe,conversion（%）
28,0.0980392156862745,0.0980392156862745,0.0980392156862745,1.53,15,20.0,1.5,71.0
40,0.0,0.980392156862745,0.0980392156862745,3.06,5,20.0,1.0,96.6
125,0.000914634146341463,0.0,0.0,1.64,0,10.0,0.0,0.0
154,0.00310932475884244,0.00621864951768489,0.0,1.60806618407446,15,90.0,0.3,96.397
155,0.0124372990353698,0.0124372990353698,0.0,1.60806618407446,15,90.0,0.2,98.8
25,0.0,0.0,0.0,1.53,0,20.0,0.0,0.0
23,0.0913838120104439,0.0,0.00913838120104439,3.83,5,10.0,2.0,96.0
150,0.00105,0.0042,0.00021,2.38095238095238,15,25.0,0.2,97.2
146,0.0630252100840336,0.0262605042016807,0.0,2.38,5,25.0,2.0,96.2
81,0.00125,1.25,0.0125,1.6,15,40.0,0.0,70.2
108,0.138888888888889,0.00138888888888889,1.38888888888889,1.44,0,50.0,1.0,46.3
79,1.25,1.25,1.25,1.2,20,40.0,2.0,96.5
84,1.25,0.0125,0.0,1.6,5,40.0,1.5,96.4
39,0.980392156862745,0.0,0.000980392156862745,2.55,15,20.0,1.0,95.0
167,0.00295714285714286,0.0118285714285714,0.0,1.69082125603865,5,100.0,0.2,96.6
47,0.00980392156862745,0.980392156862745,0.000980392156862745,3.57,0,20.0,1.5,98.0
94,1.25,0.125,0.0125,2.4,0,40.0,0.5,98.0
153,0.00778,0.006224,0.003112,3.2133676092545,10,5.0,0.2,96.6
43,0.0980392156862745,0.00980392156862745,0.000980392156862745,3.06,20,20.0,0.0,94.0
137,0.000914634146341463,0.914634146341463,0.00914634146341463,3.28,5,10.0,1.0,98.0
3,0.0914634146341463,0.0914634146341463,0.0914634146341463,1.64,15,10.0,1.5,80.0
105,0.0,0.138888888888889,0.00138888888888889,1.44,10,50.0,2.0,53.2
53,0.111940298507463,0.111940298507463,0.111940298507463,1.34,15,30.0,1.5,92.5
133,0.000915750915750916,0.000915750915750916,0.274725274725275,2.73,20,10.0,0.5,0.0
197,0.075,0.03125,2.0,40.0,5,6.0,0.0,97.1
156,0.00299666666666667,0.00599333333333333,0.0,1.66852057842047,15,80.0,0.2,98.4
184,0.0138888888888889,0.0555555555555556,1.8,50.0,5,2.0,0.0277777777777778,95.5
49,0.980392156862745,0.000980392156862745,0.0980392156862745,3.57,10,20.0,0.0,98.0
80,0.0,0.125,0.00125,1.6,10,40.0,2.0,81.1
34,0.980392156862745,0.00980392156862745,0.0,2.04,5,20.0,1.5,98.0
7,0.0091324200913242,0.0,0.091324200913242,2.19,20,10.0,0.5,79.0
110,0.0,0.00138888888888889,0.0138888888888889,1.8,20,50.0,1.5,0.0
91,0.00125,0.0,1.25,2.4,10,40.0,1.5,0.0
83,0.125,0.00125,1.25,1.6,0,40.0,1.0,60.0
175,0.0555555555555556,0.0347222222222222,1.8,50.0,5,2.0,0.111111111111111,95.3
180,0.0277777777777778,0.0416666666666667,1.8,50.0,5,5.0,0.0,97.2
89,1.25,0.0,0.00125,2.0,15,40.0,1.0,98.0
8,0.091324200913242,0.00091324200913242,0.91324200913242,2.19,0,10.0,1.0,94.0
13,0.0915750915750916,0.915750915750916,0.0,2.73,10,10.0,0.5,96.0
59,1.11731843575419,0.0111731843575419,0.0,1.79,5,30.0,1.5,97.4
170,0.0206611570247934,0.0826446280991736,0.0,1.21,5,100.0,2.0,99.9
131,0.091324200913242,0.0,0.091324200913242,2.19,20,10.0,0.5,95.0
